About,Rating,Company,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
IT Services & Consulting | Noida +12 other locations,433.0,AppInventiv Technologies,433.0,2800.0,85.0,19.0,66.0,14.0
Industrial Machinery | Chennai +28 other locations,577.0,Andritz Hydro Location India,577.0,2800.0,35.0,8.0,45.0,3.0
Internet | Gurugram +23 other locations,438.0,NOON.COM,438.0,2800.0,60.0,,31.0,
Industrial Machinery | Pune +24 other locations,1300.0,Sigma Electric Manufacturing Corporation,1300.0,2800.0,78.0,22.0,206.0,7.0
Education & Training | Chandigarh +47 other locations,1500.0,Chandigarh University,1500.0,2800.0,110.0,65.0,51.0,6.0
BPO | New Delhi +22 other locations,1200.0,Jindal X,1200.0,2800.0,114.0,8.0,155.0,1.0
Engineering & Construction | Chennai +29 other locations,581.0,Wood Group,581.0,2800.0,68.0,69.0,26.0,1.0
Industrial Machinery | Pune +26 other locations,557.0,Sulzer,557.0,2800.0,36.0,1.0,64.0,
FinTech | Pune +16 other locations,435.0,Western Union,435.0,2800.0,39.0,4.0,40.0,10.0
Pulp & Paper | Rayagada +52 other locations,816.0,JK Paper,816.0,2800.0,67.0,22.0,73.0,1.0
Media & Entertainment | New Delhi +53 other locations,560.0,The Times of India,560.0,2800.0,46.0,1.0,54.0,3.0
FMCG | Chennai +40 other locations,276.0,Olam Group,276.0,2800.0,42.0,48.0,1.0,
IT Services & Consulting | Gurugram +22 other locations,422.0,Samsung SDS,422.0,2800.0,31.0,,20.0,
Banking | Gurugram +10 other locations,310.0,NatWest Markets,310.0,2800.0,18.0,1.0,47.0,
Banking | Mumbai +184 other locations,845.0,Bank of India,845.0,2800.0,57.0,,94.0,13.0
Auto Components | Gurugram +18 other locations,568.0,Marelli,568.0,2800.0,47.0,12.0,70.0,13.0
Auto Components | Bengaluru +11 other locations,547.0,Maini Precision Products,547.0,2800.0,40.0,4.0,39.0,
Insurance | Gurugram +19 other locations,558.0,Allianz Partners,558.0,2700.0,40.0,,34.0,1.0
Retail | Kolkata +63 other locations,1000.0,Spencer's Retail,1000.0,2700.0,68.0,4.0,95.0,
Pharma | Bengaluru +53 other locations,409.0,Merck,409.0,2700.0,20.0,1.0,37.0,
Financial Services | Mumbai +162 other locations,892.0,Truhome Finance,892.0,2700.0,61.0,34.0,47.0,3.0
IT Services & Consulting | Gurugram +11 other locations,298.0,Gemini Solutions,298.0,2700.0,38.0,,18.0,
IT Services & Consulting | Pune +32 other locations,988.0,Softenger,988.0,2700.0,74.0,6.0,162.0,13.0
Building Material | Chennai +93 other locations,754.0,India Cements,754.0,2700.0,52.0,8.0,63.0,1.0
IT Services & Consulting | Hyderabad +18 other locations,601.0,Polaris Consulting,601.0,2700.0,33.0,1.0,87.0,
Industrial Machinery | Coimbatore +70 other locations,873.0,C.R.I. Pumps,873.0,2700.0,35.0,7.0,74.0,2.0
Internet | Bengaluru +199 other locations,890.0,AJIO,890.0,2700.0,65.0,,98.0,
Food Processing | Mumbai +90 other locations,879.0,Parag Milk Foods,879.0,2700.0,81.0,3.0,57.0,23.0
Pharma | Bengaluru +16 other locations,473.0,Anthem Biosciences,473.0,2700.0,38.0,,32.0,
Electrical Equipment | Pune +76 other locations,759.0,Finolex Cables,759.0,2700.0,45.0,22.0,46.0,
Electronics Manufacturing | Bawal +28 other locations,1100.0,Navitasys India,1100.0,2700.0,147.0,5.0,55.0,4.0
BPO | Gurugram +13 other locations,801.0,Radical Minds,801.0,2700.0,68.0,23.0,37.0,1.0
Healthcare | Bengaluru +86 other locations,557.0,Herbalife International,557.0,2700.0,30.0,34.0,47.0,5.0
Clinical Research | Mumbai +35 other locations,542.0,Reliance Life Sciences,542.0,2700.0,33.0,11.0,58.0,
IT Services & Consulting | Hyderabad +8 other locations,432.0,Freyr Solutions,432.0,2700.0,34.0,9.0,20.0,
BPO | Kolkata +6 other locations,611.0,BT E Serv,611.0,2700.0,54.0,,133.0,
Chemicals | Roha +26 other locations,620.0,Sudarshan Chemical Industries,620.0,2700.0,35.0,13.0,48.0,4.0
Auto Components | Hosur +29 other locations,619.0,Fiem Industries,619.0,2700.0,29.0,11.0,55.0,
Packaging | Mumbai +44 other locations,822.0,Huhtamaki,822.0,2700.0,27.0,1.0,87.0,
Power | Jharsuguda +65 other locations,927.0,Steag Energy Services,927.0,2700.0,52.0,5.0,103.0,2.0
Hospitality | New Delhi +46 other locations,702.0,IHG,702.0,2700.0,40.0,102.0,89.0,
Telecom | Mumbai +45 other locations,943.0,Tikona Infinet,943.0,2700.0,33.0,5.0,87.0,1.0
Industrial Machinery | Chennai +44 other locations,629.0,Schwing Stetter,629.0,2700.0,47.0,80.0,51.0,
Clinical Research | Mysuru +18 other locations,818.0,Qinecsa Solutions,818.0,2700.0,64.0,2.0,1.0,
Auto Components | Gurugram +38 other locations,917.0,Neel Metal Products,917.0,2700.0,56.0,,74.0,4.0
Auto Components | Pune +25 other locations,909.0,Bosch Chassis Systems,909.0,2700.0,48.0,,113.0,
FMCG | Chennai +42 other locations,575.0,WayCool Foods and Products,575.0,2700.0,42.0,,35.0,10.0
Chemicals | Surat +17 other locations,570.0,Navin Fluorine International,570.0,2700.0,30.0,5.0,44.0,
Telecom | Bengaluru +14 other locations,354.0,6D Technologies,354.0,2700.0,48.0,,13.0,
IT Services & Consulting | Mumbai +78 other locations,612.0,Hitachi Systems Micro Clinic,612.0,2700.0,32.0,,70.0,
Engineering & Construction | Ahmedabad +83 other locations,824.0,Dineshchandra R. Agrawal Infracon,824.0,2700.0,62.0,19.0,37.0,1.0
IT Services & Consulting | Bengaluru +44 other locations,634.0,NetConnectGlobal,634.0,2700.0,33.0,195.0,28.0,9.0
IT Services & Consulting | Mumbai +12 other locations,415.0,Accelya Solutions India Limited,415.0,2700.0,51.0,25.0,31.0,
Engineering & Construction | Mumbai +100 other locations,764.0,Transrail Lighting,764.0,2700.0,61.0,3.0,51.0,16.0
Logistics | Mumbai +75 other locations,869.0,Parekh Integrated Services,869.0,2700.0,42.0,14.0,91.0,
Auto Components | Chennai +29 other locations,764.0,India Japan Lighting,764.0,2700.0,66.0,7.0,69.0,6.0
EdTech | Hyderabad +95 other locations,876.0,Next Education India,876.0,2700.0,50.0,17.0,123.0,42.0
Electronics Manufacturing | Bengaluru +9 other locations,286.0,Infineon Technologies,286.0,2700.0,48.0,130.0,22.0,6.0
FMCG | Ahmedabad +130 other locations,1100.0,Zydus Wellness,1100.0,2700.0,108.0,30.0,76.0,9.0
Auto Components | Pune +37 other locations,856.0,Jaya Hind Industries,856.0,2700.0,64.0,2.0,59.0,2.0
Software Product | Chennai +4 other locations,256.0,Agilysys Technologies India,256.0,2700.0,60.0,11.0,19.0,
Financial Services | Bengaluru +10 other locations,533.0,Consero Global Solutions,533.0,2700.0,101.0,,24.0,
Chemicals | Mumbai +287 other locations,1100.0,Birla Opus,1100.0,2700.0,101.0,,11.0,10.0
Real Estate | Bengaluru +11 other locations,547.0,Brigade Group,547.0,2700.0,46.0,97.0,42.0,1.0
IT Services & Consulting | Mumbai +185 other locations,1100.0,CALIBEHR,1100.0,2700.0,70.0,17.0,63.0,3.0
Automobile | Nagpur +126 other locations,850.0,Mahindra Tractors,850.0,2700.0,57.0,,3.0,
Engineering & Construction | Pune +26 other locations,743.0,B. G. Shirke Construction Technology,743.0,2700.0,43.0,4.0,89.0,1.0
IT Services & Consulting | Noida +9 other locations,321.0,Indus Valley Partners,321.0,2700.0,60.0,37.0,43.0,8.0
Medical Equipment | Pune +8 other locations,391.0,Medline Industries India Private Limited,391.0,2700.0,48.0,10.0,24.0,5.0
Auto Components | Faridabad +33 other locations,848.0,Sanden Vikas,848.0,2700.0,58.0,9.0,71.0,3.0
Auto Components | Bengaluru +11 other locations,440.0,Nexteer Automotive,440.0,2700.0,28.0,2.0,31.0,1.0
Auto Components | Rohtak +27 other locations,809.0,AISIN,809.0,2700.0,58.0,8.0,91.0,3.0
Hospitality | Bengaluru +83 other locations,1100.0,Barbeque Nation,1100.0,2700.0,50.0,14.0,121.0,23.0
Jewellery | Hyderabad +134 other locations,1100.0,Malabar Gold and Diamonds,1100.0,2700.0,103.0,49.0,71.0,22.0
Building Material | New Delhi +87 other locations,805.0,Somany Ceramics,805.0,2700.0,29.0,8.0,70.0,1.0
Auto Components | Chhatrapati Sambhajinagar +66 other locations,715.0,Goodyear,715.0,2700.0,75.0,9.0,50.0,14.0
Accounting & Auditing | Mumbai +36 other locations,528.0,RSM India,528.0,2700.0,69.0,4.0,24.0,2.0
Financial Services | Bengaluru +4 other locations,308.0,ANZ Operations & Technology,308.0,2600.0,31.0,,38.0,
Financial Services | New Delhi +91 other locations,672.0,SMC Global Securities,672.0,2600.0,60.0,16.0,27.0,1.0
BPO | Noida +50 other locations,1000.0,iQor Global Services,1000.0,2600.0,47.0,41.0,111.0,6.0
Metals & Mining | Lanjigarh +54 other locations,630.0,Vedanta Limited,630.0,2600.0,59.0,50.0,49.0,
Retail | New Delhi +137 other locations,1100.0,V2 Retail,1100.0,2600.0,91.0,44.0,88.0,13.0
Real Estate | Mumbai +49 other locations,168.0,Real Estate Group,168.0,2600.0,17.0,,8.0,1.0
Petrochemicals | Vadodara +25 other locations,682.0,PCBL Chemical Limited,682.0,2600.0,73.0,,51.0,1.0
Software Product | Pune +47 other locations,508.0,QUICK HEAL TECHNOLOGIES,508.0,2600.0,31.0,2.0,54.0,
IT Services & Consulting | Hyderabad +15 other locations,419.0,CES,419.0,2600.0,58.0,17.0,36.0,7.0
Internet | Bengaluru +43 other locations,601.0,DealShare,601.0,2600.0,42.0,,35.0,4.0
NBFC | Ahmedabad +46 other locations,567.0,LendingKart,567.0,2600.0,39.0,59.0,23.0,1.0
FinTech | Gurugram +51 other locations,536.0,Mobikwik,536.0,2600.0,65.0,44.0,27.0,5.0
BPO | Mumbai +87 other locations,686.0,Mahindra Integrated Business Solutions,686.0,2600.0,46.0,3.0,23.0,10.0
IT Services & Consulting | Hyderabad +10 other locations,261.0,Concentrix Catalyst,261.0,2600.0,37.0,,3.0,8.0
FinTech | Bengaluru +5 other locations,264.0,Perfios Software Solutions,264.0,2600.0,27.0,11.0,13.0,4.0
Pharma | Mumbai +111 other locations,947.0,Aristo Pharmaceuticals,947.0,2600.0,55.0,8.0,66.0,
Consumer Electronics & Appliances | Bengaluru +60 other locations,719.0,BSH Home Appliances Group,719.0,2600.0,39.0,6.0,5.0,
Consumer Electronics & Appliances | Noida +65 other locations,697.0,Transsion,697.0,2600.0,40.0,,70.0,4.0
Semiconductors | Bengaluru +12 other locations,352.0,NXP Semiconductors,352.0,2600.0,49.0,9.0,24.0,
Facility Management Services | Mumbai +57 other locations,925.0,OCS Group,925.0,2600.0,61.0,14.0,58.0,3.0
Agro Chemicals | Hyderabad +107 other locations,681.0,Corteva Agriscience,681.0,2600.0,41.0,3.0,59.0,1.0
NBFC | Bengaluru +352 other locations,1300.0,CreditAccess Grameen,1300.0,2600.0,55.0,13.0,73.0,14.0
NBFC | Pune +174 other locations,1200.0,Electronica Finance,1200.0,2600.0,143.0,22.0,36.0,20.0
EdTech | Gurugram +24 other locations,498.0,CollegeDekho,498.0,2600.0,68.0,23.0,15.0,2.0
Management Consulting | Mumbai +13 other locations,570.0,Datamatics Business Solutions,570.0,2600.0,48.0,2.0,32.0,1.0
Media & Entertainment | Mumbai +29 other locations,346.0,Network 18,346.0,2600.0,34.0,10.0,27.0,1.0
IT Services & Consulting | Bengaluru +11 other locations,302.0,Incture Technologies,302.0,2600.0,57.0,7.0,18.0,4.0
IT Services & Consulting | Hyderabad +21 other locations,188.0,Cogniter Technologies,188.0,2600.0,20.0,4.0,19.0,
Industrial Machinery | Pune +22 other locations,569.0,Kirloskar Pneumatic,569.0,2600.0,39.0,,43.0,
Recruitment | Gurugram +15 other locations,779.0,Quatrro Business Support Services,779.0,2600.0,62.0,4.0,85.0,
IT Services & Consulting | Pune +4 other locations,279.0,Qualys,279.0,2600.0,49.0,,7.0,
IT Services & Consulting | Bengaluru +5 other locations,449.0,LKQ INDIA,449.0,2600.0,39.0,20.0,26.0,7.0
Insurance | Gurugram +123 other locations,922.0,Aviva Life Insurance India,922.0,2600.0,37.0,9.0,64.0,3.0
IT Services & Consulting | Pune +10 other locations,427.0,Ensono,427.0,2600.0,31.0,60.0,24.0,4.0
Internet | Mumbai +117 other locations,727.0,Turtlemint,727.0,2600.0,59.0,6.0,28.0,
Internet | Bengaluru +39 other locations,593.0,ShareChat,593.0,2600.0,87.0,10.0,43.0,18.0
Internet | Gurugram +42 other locations,607.0,Ofbusiness,607.0,2600.0,51.0,93.0,22.0,7.0
Pune +12 other locations,560.0,Equifax,560.0,2600.0,110.0,12.0,23.0,
IT Services & Consulting | Hyderabad +16 other locations,315.0,Cognizant Solutions Corp,315.0,2600.0,62.0,,2.0,
Power | Gurugram +105 other locations,891.0,Acme Cleantech Solutions,891.0,2600.0,86.0,11.0,95.0,1.0
Building Material | Mumbai +88 other locations,811.0,Prince Pipes & Fittings,811.0,2600.0,56.0,14.0,59.0,
Consumer Electronics & Appliances | Pune +69 other locations,529.0,Atomberg Technologies,529.0,2600.0,43.0,24.0,26.0,
EdTech | Bengaluru +19 other locations,684.0,Embibe,684.0,2600.0,61.0,,84.0,39.0
Engineering & Construction | Gurugram +90 other locations,754.0,RITES,754.0,2600.0,41.0,6.0,63.0,1.0
Real Estate | Bengaluru +32 other locations,580.0,Prestige Group,580.0,2600.0,50.0,9.0,55.0,1.0
Fashion & Textile | Bengaluru +100 other locations,806.0,PUMA,806.0,2600.0,72.0,14.0,83.0,2.0
Auto Components | Bengaluru +13 other locations,292.0,Keihin Fie,292.0,2600.0,6.0,,46.0,
Retail | Bengaluru +42 other locations,603.0,Lulu International Shopping Mall,603.0,2600.0,45.0,,21.0,1.0
Telecom | Bengaluru +240 other locations,1100.0,Bharat Sanchar Nigam,1100.0,2600.0,49.0,,101.0,3.0
Industrial Machinery | Pune +17 other locations,658.0,Sigma Engineered Solutions,658.0,2600.0,31.0,,16.0,1.0
Electronics Manufacturing | Gurugram +12 other locations,477.0,Keysight Technologies,477.0,2600.0,36.0,64.0,51.0,10.0
IT Services & Consulting | Pune +4 other locations,279.0,Qualys,279.0,2600.0,49.0,,7.0,
IT Services & Consulting | Gurugram +10 other locations,469.0,Espire Infolabs,469.0,2600.0,27.0,28.0,24.0,5.0
IT Services & Consulting | Bengaluru +7 other locations,413.0,Intelizign Lifecycle Services,413.0,2600.0,60.0,37.0,23.0,
IT Services & Consulting | Bengaluru +13 other locations,552.0,Indecomm Global Services,552.0,2600.0,29.0,11.0,46.0,4.0
NBFC | Mumbai +71 other locations,509.0,InCred Finance,509.0,2600.0,33.0,28.0,20.0,
Software Product | Pune +3 other locations,510.0,Yardi Systems,510.0,2600.0,78.0,,41.0,2.0
Defence & Aerospace | Pune +23 other locations,436.0,Honeywell International India,436.0,2600.0,39.0,,51.0,
Gaming | Noida +10 other locations,324.0,Aristocrat,324.0,2600.0,68.0,29.0,33.0,
Accounting & Auditing | Gurugram +38 other locations,471.0,Grant Thornton Bharat,471.0,2600.0,91.0,6.0,19.0,2.0
Retail | Bengaluru +46 other locations,337.0,NIKE,337.0,2600.0,50.0,,23.0,
Hospitality | Hyderabad +21 other locations,581.0,Sandoz,581.0,2500.0,26.0,1.0,52.0,2.0
EdTech | Hyderabad +19 other locations,529.0,EC-Council,529.0,2500.0,51.0,30.0,42.0,2.0
Biotechnology | Hyderabad +7 other locations,164.0,Amgen,164.0,2500.0,29.0,676.0,4.0,11.0
Analytics & KPO | Bengaluru +7 other locations,313.0,Sigmoid,313.0,2500.0,88.0,52.0,14.0,10.0
Furniture & Furnishing | Mumbai +45 other locations,598.0,Hettich,598.0,2500.0,44.0,11.0,40.0,1.0
Retail | New Delhi +19 other locations,599.0,FNP,599.0,2500.0,72.0,11.0,25.0,43.0
Hospitality | Gurugram +36 other locations,585.0,Country Delight,585.0,2500.0,44.0,4.0,11.0,5.0
Consumer Electronics & Appliances | Kolkata +111 other locations,803.0,Eveready Industries,803.0,2500.0,44.0,,87.0,1.0
Healthcare | Bengaluru +20 other locations,502.0,MediBuddy,502.0,2500.0,43.0,37.0,16.0,129.0
Engineering & Construction | Nagpur +43 other locations,279.0,SMS Limited,279.0,2500.0,14.0,1.0,33.0,
Agro Chemicals | Ankleshwar +121 other locations,799.0,Rallis India,799.0,2500.0,46.0,13.0,80.0,1.0
EdTech | Bengaluru +8 other locations,546.0,Scaler Academy,546.0,2500.0,92.0,7.0,84.0,16.0
Software Product | Bengaluru +6 other locations,338.0,Aptean,338.0,2500.0,52.0,20.0,38.0,
Real Estate | Gurugram +19 other locations,540.0,Emaar India Limited,540.0,2500.0,28.0,3.0,42.0,2.0
Insurance | Thiruvananthapuram +13 other locations,595.0,Allianz Services,595.0,2500.0,33.0,13.0,50.0,38.0
Internet | Bengaluru +10 other locations,551.0,Tracxn,551.0,2500.0,115.0,62.0,38.0,
Marketing & Advertising | Pune +12 other locations,589.0,Affinity Express,589.0,2500.0,39.0,1.0,41.0,2.0
Engineering & Construction | Kolkata +65 other locations,593.0,Bridge & Roof Co,593.0,2500.0,27.0,,102.0,
Telecom | Bengaluru +11 other locations,550.0,RadiSys,550.0,2500.0,51.0,,55.0,
Industrial Machinery | Bengaluru +29 other locations,510.0,Epiroc,510.0,2500.0,44.0,23.0,45.0,1.0
Education & Training | Chennai +50 other locations,596.0,IDP Education Limited,596.0,2500.0,69.0,15.0,51.0,
Accounting & Auditing | Jaipur +10 other locations,571.0,NAV Backoffice,571.0,2500.0,38.0,2.0,27.0,9.0
Metals & Mining | Jamshedpur +50 other locations,723.0,Thriveni Earthmovers,723.0,2500.0,64.0,,90.0,2.0
Chemicals | Ahmedabad +163 other locations,972.0,Astral Adhesives,972.0,2500.0,57.0,,61.0,2.0
Engineering & Construction | Chennai +52 other locations,725.0,URC Construction,725.0,2500.0,75.0,,34.0,5.0
Bengaluru +12 other locations,161.0,IBM Consulting,161.0,2500.0,49.0,,10.0,
Analytics & KPO | Mumbai +26 other locations,411.0,Ipsos,411.0,2500.0,42.0,11.0,23.0,
Food Processing | Noida +58 other locations,685.0,Triveni Engineering & Industries,685.0,2500.0,51.0,2.0,60.0,2.0
Fashion & Textile | Ahmedabad +107 other locations,646.0,Monte Carlo,646.0,2500.0,36.0,7.0,47.0,3.0
Education & Training | New Delhi +45 other locations,435.0,Indian Institute of Technology Gandhinagar,435.0,2500.0,25.0,,31.0,
Packaging | Pune +20 other locations,482.0,Tetra Pak,482.0,2500.0,43.0,2.0,59.0,10.0
Industrial Machinery | Bengaluru +29 other locations,434.0,Ingersoll Rand,434.0,2500.0,38.0,101.0,40.0,6.0
Electronics Manufacturing | Pune +25 other locations,410.0,Copeland,410.0,2500.0,26.0,22.0,2.0,1.0
Chemicals | Mumbai +97 other locations,690.0,BASF,690.0,2500.0,35.0,5.0,67.0,9.0
IT Services & Consulting | Bengaluru +7 other locations,403.0,Aeries Technology,403.0,2500.0,33.0,167.0,33.0,8.0
IT Services & Consulting | Bengaluru +13 other locations,369.0,Endava,369.0,2500.0,26.0,,22.0,
Financial Services | New Delhi +99 other locations,758.0,Religare,758.0,2500.0,35.0,21.0,32.0,1.0
FinTech | Bengaluru +18 other locations,357.0,Groww,357.0,2500.0,86.0,17.0,16.0,3.0
BPO | Bengaluru +9 other locations,741.0,SLK Global Services,741.0,2500.0,34.0,,95.0,
Aviation | New Delhi +46 other locations,1100.0,Air India Sats Airport Services,1100.0,2500.0,69.0,,73.0,
NBFC | Mumbai +105 other locations,733.0,Home First Finance Company India,733.0,2500.0,66.0,296.0,30.0,
Broadcasting | Lucknow +245 other locations,1000.0,Sahara India Pariwar,1000.0,2500.0,29.0,,100.0,9.0
Electrical Equipment | Mumbai +34 other locations,711.0,Raychem RPG,711.0,2500.0,34.0,2.0,92.0,7.0
Power | Gurugram +32 other locations,685.0,Doosan Power Systems,685.0,2500.0,44.0,,82.0,28.0
Engineering & Construction | Hyderabad +74 other locations,953.0,Navayuga Engineering Company,953.0,2500.0,66.0,8.0,89.0,1.0
IT Services & Consulting | New Delhi +41 other locations,461.0,SISL Infotech,461.0,2500.0,24.0,187.0,19.0,
Banking | Gurugram +6 other locations,487.0,Saxo Bank,487.0,2500.0,74.0,17.0,33.0,31.0
Building Material | Anjar +53 other locations,682.0,Welspun World,682.0,2500.0,60.0,70.0,85.0,1.0
Pharma | Coimbatore +26 other locations,348.0,Avantor,348.0,2500.0,35.0,25.0,24.0,11.0
Management Consulting | Hyderabad +59 other locations,621.0,Nspira Management Services,621.0,2500.0,39.0,10.0,26.0,1.0
Consumer Electronics & Appliances | Bengaluru +83 other locations,701.0,TTK Prestige,701.0,2500.0,52.0,23.0,50.0,1.0
Pharma | Coimbatore +26 other locations,348.0,Avantor,348.0,2500.0,35.0,25.0,24.0,11.0
IT Services & Consulting | New Delhi +40 other locations,426.0,Silver Touch Technologies,426.0,2500.0,35.0,11.0,10.0,
Banking | Bengaluru +10 other locations,444.0,Mashreq Global Services,444.0,2500.0,29.0,34.0,33.0,3.0
IT Services & Consulting | Hyderabad +6 other locations,424.0,Prolifics Corporation,424.0,2500.0,65.0,51.0,25.0,4.0
Media & Entertainment | Bengaluru +12 other locations,443.0,Deluxe Entertainment,443.0,2500.0,38.0,7.0,40.0,5.0
Industrial Machinery | Kanpur +21 other locations,699.0,Lohia Corp,699.0,2500.0,83.0,1.0,43.0,31.0
Financial Services | Mumbai +140 other locations,624.0,HDFC Asset Management Company,624.0,2500.0,46.0,,27.0,
IT Services & Consulting | Hyderabad +6 other locations,424.0,Prolifics Corporation,424.0,2500.0,65.0,49.0,25.0,4.0
Internet | Bengaluru +68 other locations,1100.0,Amazon Sellers Services,1100.0,2500.0,134.0,,102.0,
BPO | Hyderabad +15 other locations,696.0,Sykes Business Services Of India,696.0,2500.0,53.0,30.0,205.0,33.0
IT Services & Consulting | Chennai +14 other locations,384.0,Servion Global Solutions,384.0,2500.0,36.0,11.0,29.0,
NBFC | Kochi +417 other locations,1500.0,Muthoot Microfin,1500.0,2500.0,86.0,9.0,68.0,19.0
Software Product | Bengaluru +3 other locations,416.0,Odessa,416.0,2500.0,46.0,,52.0,15.0
Food Processing | Kolkata +67 other locations,695.0,Emami Agrotech,695.0,2500.0,45.0,11.0,56.0,
Marketing & Advertising | Bengaluru +12 other locations,368.0,Omnicom Global Solutions,368.0,2500.0,18.0,48.0,11.0,
Electronics Manufacturing | Pune +22 other locations,694.0,Flash Electronics,694.0,2500.0,36.0,1.0,60.0,
Auto Components | Chennai +34 other locations,687.0,Caparo Engineering India,687.0,2500.0,35.0,,63.0,2.0
Packaging | Nashik +18 other locations,589.0,Jindal Poly Films,589.0,2400.0,40.0,,53.0,
Logistics | Pune +27 other locations,495.0,Maersk Line,495.0,2400.0,34.0,,65.0,4.0
Hospitality | Pune +15 other locations,449.0,Rieter,449.0,2400.0,31.0,6.0,50.0,2.0
Financial Services | Mumbai +57 other locations,449.0,Nuvama Wealth and Investment,449.0,2400.0,20.0,21.0,8.0,2.0
IT Services & Consulting | Bengaluru +10 other locations,387.0,Intelliswift - An LTTS Company,387.0,2400.0,32.0,3.0,17.0,9.0
Software Product | Bengaluru +10 other locations,385.0,Mobileum,385.0,2400.0,42.0,4.0,89.0,
Auto Components | Bengaluru +39 other locations,535.0,Suprajit Engineering,535.0,2400.0,41.0,16.0,54.0,1.0
IT Services & Consulting | Noida +10 other locations,385.0,AgreeYa Solutions,385.0,2400.0,26.0,1.0,15.0,
Petrochemicals | Ahmedabad +72 other locations,665.0,Sintex BAPL,665.0,2400.0,43.0,7.0,69.0,
Recruitment | Gurugram +7 other locations,385.0,TrueBlue,385.0,2400.0,29.0,5.0,20.0,
FinTech | Bengaluru +18 other locations,383.0,Navi Technologies,383.0,2400.0,69.0,29.0,19.0,6.0
Chemicals | Salem +20 other locations,535.0,Chemplast Sanmar,535.0,2400.0,47.0,9.0,32.0,9.0
Insurance | Mumbai +87 other locations,581.0,Magma General Insurance Limited,581.0,2400.0,43.0,27.0,38.0,2.0
Analytics & KPO | Bengaluru +5 other locations,321.0,Moody's Analytics,321.0,2400.0,24.0,19.0,22.0,
Auto Components | Coimbatore +26 other locations,560.0,Craftsman Automation,560.0,2400.0,24.0,,58.0,
Industrial Machinery | Pune +66 other locations,701.0,Wuerth,701.0,2400.0,46.0,10.0,77.0,
Semiconductors | Bengaluru +10 other locations,225.0,Texas Instruments,225.0,2400.0,136.0,191.0,13.0,
Software Product | Bengaluru +66 other locations,427.0,Tally Solutions,427.0,2400.0,49.0,12.0,49.0,8.0
Semiconductors | Bengaluru +10 other locations,225.0,Texas Instruments,225.0,2400.0,136.0,191.0,13.0,
Engineering & Construction | Chennai +36 other locations,561.0,Kellogg Brown and Root,561.0,2400.0,42.0,51.0,51.0,1.0
Healthcare | Mumbai +13 other locations,415.0,P.D. Hinduja National Hospital and Medical Research Centre,415.0,2400.0,29.0,24.0,45.0,6.0
Software Product | Pune +5 other locations,433.0,Entrata,433.0,2400.0,44.0,3.0,51.0,8.0
Software Product | Pune +5 other locations,433.0,Entrata,433.0,2400.0,44.0,3.0,51.0,8.0
Industrial Machinery | Bengaluru +18 other locations,558.0,Bharat Fritz Werner,558.0,2400.0,33.0,9.0,48.0,1.0
Analytics & KPO | Chennai +10 other locations,585.0,Prochant,585.0,2400.0,71.0,39.0,35.0,16.0
Internet | Bengaluru +8 other locations,229.0,LinkedIn,229.0,2400.0,74.0,,16.0,9.0
Engineering & Construction | Gurugram +129 other locations,833.0,Feedback Infrastructure Services,833.0,2400.0,47.0,4.0,90.0,
IT Services & Consulting | Bengaluru +12 other locations,268.0,GyanSys Inc,268.0,2400.0,26.0,56.0,12.0,12.0
Building Material | Hyderabad +71 other locations,689.0,Orient Cement,689.0,2400.0,48.0,6.0,81.0,
Auto Components | Gurugram +17 other locations,582.0,Maxop Engineering Co.,582.0,2400.0,49.0,10.0,30.0,
Electronics Manufacturing | Chennai +72 other locations,687.0,TVS Electronics,687.0,2400.0,33.0,6.0,67.0,
IT Services & Consulting | Bengaluru +11 other locations,320.0,Apisero,320.0,2400.0,67.0,,34.0,
NBFC | Hyderabad +365 other locations,1300.0,Spandana Sphoorty Financial,1300.0,2400.0,55.0,8.0,87.0,9.0
Building Material | Pune +72 other locations,621.0,Finolex Industries,621.0,2400.0,48.0,1.0,23.0,
Internet | Bengaluru +61 other locations,455.0,Rapido,455.0,2400.0,43.0,6.0,31.0,3.0
Printing & Publishing | Pune +4 other locations,338.0,Springer Nature in India,338.0,2400.0,40.0,11.0,25.0,25.0
Fashion & Textile | Coimbatore +56 other locations,520.0,Walkaroo International,520.0,2400.0,49.0,89.0,25.0,2.0
IT Services & Consulting | Jaipur +10 other locations,474.0,In Time Tec Visionsoft,474.0,2400.0,50.0,14.0,71.0,6.0
Electronics Manufacturing | Gurugram +87 other locations,757.0,Livguard,757.0,2400.0,45.0,,16.0,1.0
Consumer Electronics & Appliances | Pune +154 other locations,1000.0,SYSKA LED Lights,1000.0,2400.0,58.0,,80.0,1.0
Engineering & Construction | Noida +47 other locations,757.0,Samsung E&A,757.0,2400.0,72.0,,113.0,4.0
Defence & Aerospace | Pune +31 other locations,642.0,GKN,642.0,2400.0,40.0,37.0,81.0,
Insurance | Mumbai +126 other locations,895.0,Ageas Federal Life Insurance,895.0,2400.0,58.0,40.0,72.0,4.0
FinTech | Mumbai +15 other locations,358.0,Worldline,358.0,2400.0,43.0,6.0,3.0,15.0
Building Material | Kolkata +99 other locations,761.0,Greenply,761.0,2400.0,57.0,2.0,53.0,
Insurance | Gurugram +126 other locations,964.0,Pramerica Life Insurance,964.0,2400.0,42.0,15.0,70.0,5.0
