About,Rating,Company,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
Automobile | Pune +506 other locations,14300.0,Tata Motors,14300.0,43300.0,1300.0,214.0,1600.0,45.0
Banking | Mumbai +543 other locations,10300.0,Yes Bank,10300.0,42800.0,571.0,204.0,645.0,18.0
Telecom | Noida +161 other locations,8500.0,Ericsson,8500.0,42700.0,479.0,60.0,1000.0,17.0
Banking | Chennai +69 other locations,5800.0,Standard Chartered,5800.0,42500.0,331.0,1.0,317.0,
Bengaluru +39 other locations,279.0,Freelancer.com,279.0,42000.0,83.0,34.0,14.0,
IT Services & Consulting | Hyderabad +62 other locations,5800.0,GlobalLogic,5800.0,41900.0,697.0,82.0,535.0,21.0
IT Services & Consulting | Bengaluru +47 other locations,5700.0,Bosch Global Software Technologies,5700.0,41300.0,397.0,49.0,637.0,21.0
IT Services & Consulting | Bengaluru +52 other locations,5800.0,UST,5800.0,41200.0,611.0,725.0,420.0,25.0
Automobile | Pune +569 other locations,12200.0,Mahindra & Mahindra,12200.0,41100.0,891.0,6.0,1200.0,19.0
Internet | Hyderabad +146 other locations,7500.0,Amazon Development Centre India,7500.0,40100.0,907.0,9.0,366.0,13.0
FinTech | Pune +60 other locations,6600.0,FIS,6600.0,39300.0,546.0,179.0,732.0,17.0
IT Services & Consulting | Bengaluru +81 other locations,5400.0,NTT DATA,5400.0,39100.0,771.0,12.0,170.0,2.0
IT Services & Consulting | Chennai +97 other locations,6100.0,HCL Group,6100.0,38700.0,523.0,,666.0,1.0
Banking | Pune +42 other locations,4500.0,Deutsche Bank,4500.0,38400.0,434.0,282.0,418.0,81.0
Software Product | Pune +24 other locations,4900.0,Amdocs,4900.0,37800.0,566.0,3.0,622.0,22.0
Engineering & Construction | Bengaluru +98 other locations,1500.0,American Broadcasting Company,1500.0,36800.0,601.0,5.0,9.0,
BPO | Chennai +82 other locations,9200.0,Sutherland Global Services,9200.0,36200.0,814.0,303.0,926.0,30.0
Software Product | Bengaluru +86 other locations,1900.0,Google,1900.0,36100.0,1100.0,418.0,140.0,19.0
Industrial Automation | Bengaluru +156 other locations,5900.0,Siemens,5900.0,34900.0,519.0,460.0,645.0,13.0
Iron & Steel | Jamshedpur +228 other locations,10000.0,Tata Steel,10000.0,34600.0,1100.0,,684.0,52.0
FinTech | Noida +428 other locations,9400.0,Paytm,9400.0,34500.0,909.0,893.0,610.0,24.0
Financial Services | Bengaluru +36 other locations,4200.0,State Street Corporation,4200.0,34200.0,300.0,11.0,272.0,11.0
Banking | Pune +38 other locations,3500.0,Barclays,3500.0,34200.0,324.0,,259.0,28.0
IT Services & Consulting | Gurugram +48 other locations,4800.0,Nagarro,4800.0,33700.0,842.0,322.0,1200.0,19.0
IT Services & Consulting | Pune +50 other locations,5000.0,Atos,5000.0,33600.0,418.0,106.0,466.0,10.0
Insurance | Mumbai +718 other locations,12200.0,HDFC Life,12200.0,33600.0,824.0,123.0,643.0,60.0
IT Services & Consulting | Bengaluru +47 other locations,4100.0,Publicis Sapient,4100.0,33500.0,714.0,206.0,406.0,70.0
IT Services & Consulting | Pune +33 other locations,6400.0,eClerx,6400.0,33400.0,650.0,423.0,574.0,26.0
Financial Services | Pune +19 other locations,3500.0,UBS,3500.0,32700.000000000004,379.0,1.0,123.0,11.0
Financial Services | Pune +28 other locations,5300.0,BNY,5300.0,32299.999999999996,407.0,60.0,540.0,1.0
Clinical Research | Bengaluru +67 other locations,5300.0,IQVIA,5300.0,32299.999999999996,575.0,34.0,532.0,10.0
Iron & Steel | Ballari +199 other locations,8000.0,JSW Steel,8000.0,32000.0,862.0,124.0,635.0,32.0
Software Product | Bengaluru +47 other locations,2100.0,Microsoft Corporation,2100.0,31900.0,631.0,,201.0,7.0
Recruitment | Bengaluru +759 other locations,9900.0,Quess,9900.0,31700.0,551.0,51.0,466.0,23.0
NBFC | Pune +1207 other locations,13300.0,Bajaj Finserv,13300.0,31700.0,789.0,6.0,751.0,19.0
IT Services & Consulting | Bengaluru +69 other locations,5000.0,ITC Infotech,5000.0,30400.0,426.0,91.0,291.0,11.0
Banking | Gurugram +34 other locations,4000.0,Bank of America,4000.0,30200.0,298.0,,421.0,
Banking | Jaipur +805 other locations,14400.0,AU Small Finance Bank,14400.0,30100.0,717.0,222.0,613.0,28.0
